菜名	简介	食材-主料	食材-配料	制作步骤	URL
木耳炒腐竹	排毒解腻的营养小炒，黑木耳非常适合与豆制品一起搭配，它们能分散、沉淀血液中的胆固醇，使其转化为对人体有益的物质。	木耳, 150g; 腐竹, 200g	葱, 5g; 姜, 3g; 蒜, 3g; 盐, 1勺; 味精, 1/2勺; 酱油, 1/2勺; 油, 50ml; 淀粉, 30g	1. 把准备好的木耳提前3小时左右用冷水泡发，腐竹提前2小时左右用温水泡发2. 热锅放油，下入葱花、生姜与大蒜爆香3. 锅内放入腐竹与黑木耳，快速翻炒4. 放入适量的盐 、味精、酱油快速地炒匀后倒入水淀粉勾薄芡即可	http://www.haodou.com/recipe/52413
凉拌水萝卜-首发	以前吃水萝卜 鱼鱼都是生吃或者糖醋拌 但是上次在Cindy家吃过她家的拌水萝卜之后 觉得味道超级好 一问才知道，只有两种调料： 海天豆瓣酱和香油！ 天啦！ 这样简单的凉拌菜，味道却这样好，全托了调料的福了:) 当然，水萝卜新鲜也是很重要的	水萝卜, 3根	海天豆瓣酱, 1大勺; 香油, 适量	1. 水萝卜去掉缨子洗净2. 用刀先拍成条状3. 然后切成小块4. 调入豆瓣酱和香油5. 拌匀即可食用	http://www.haodou.com/recipe/53785
凉拌马兰头	马兰头嫩茎叶含水分、钙、磷、铁、胡萝卜素、钾、维生素B、尼克酸等。中医认为马兰头性味辛凉、微寒，有清热解毒、凉血止血、利湿消肿之功效。	马兰头, 300g; 竹笋, 2根	麻油, 2勺; 盐, 适量; 糖, 适量; 鸡精, 适量	1. 将马兰头洗净。2. 洗净马兰头飞水，控干水，切碎待用。3. 竹笋煮熟捞起并剁碎。4. 加麻油，精盐，白糖，鸡精。5. 拌匀即可。	http://www.haodou.com/recipe/51988
油爆虾 	虾营养丰富，其肉质松软，易消化，对身体虚弱以及病后需要调养的人是极好的食物。喜欢吃海鲜的朋友们，一般不太容易发胖，并且多吃海虾有利于补钙呢。	海虾, 300g	葱, 2根; 姜, 1块; 老抽, 适量; 盐, 适量; 料酒, 适量	1. 准备食材，有葱、姜，虾剪去须，洗净。2. 葱洗净，切末。3. 姜洗净，切片。锅热油，放入姜。 4. 姜爆香后，虾放入。 5. 等虾炸透，翻几下，倒入料酒。6. 再倒入一点老抽。 7. 放入一点盐，放点水，翻炒几下，盖上盖，小火焖2分钟。8. 最后，撒入葱花，鸡精，翻炒即可装盆。	http://www.haodou.com/recipe/51513
虾皮烧冬瓜	虾皮中含有丰富的蛋白质和矿物质，尤其是钙的含量极为丰富，有“钙库”之称，是缺钙者补钙的较佳途径。冬瓜含蛋白、糖类、胡萝卜素、多种维生素、粗纤维和钙、磷、铁，且钾盐含量高，钠盐含量低。	冬瓜, 500g; 虾皮, 10g	花生油, 20ml; 盐, 5g; 味精, 2g; 姜, 2g; 蒜, 2g	1. 将冬瓜削去皮，切成块;虾皮浸泡洗净待用2. 将油下锅，放姜蒜炒香3. 把虾皮放入锅中翻炒4. 把切好的冬瓜放入锅中，跟虾皮同炒5. 翻炒2分钟后，加盐、味精、少量水，转中火烧。至冬瓜软烂后即可出锅。	http://www.haodou.com/recipe/52425
甜香玉米烙	在人类所有的主食中，玉米的营养价值和保健作用是最高的。主要表现在：维生素含量非常高，钙含量接近乳制品，可降低人体胆固醇，具有防癌抗癌作用，粗粮细吃提高营养。	炼乳, 10g	玉米罐头, 适量; 糯米粉, 适量; 生粉, 适量; 白糖, 适量	1. 玉米罐打开后，把玉米粒取出冲洗下，然后控干水分放入碗中；加入10克炼乳拌匀2. 再加入生粉与糯米粉拌匀(生粉与糯米粉比例为3：1）。生粉与糯米粉还有水的用量要根据你所需材料而定。如果是玉米罐头，因为湿，所以生粉与糯米粉要多，水可以不放；原则上是要把玉米粒与粉和成团；3. 平底锅中加入适量的油，先加热约七八成热，然后倒出来放入一个耐热的碗中备用4. 锅中留少许底油，改小火。把拌好的玉米粒的糊盛入锅中，用勺子按平。我们一定要把玉米团推开，按平后，见玉米粒之间可以粘在一起了，放入刚才加热到七八成热的油，不够可以补几勺油5. 转中火加热，在保证不糊的状态下，尽量大火，这样可以帮助快速定型。此时不要用小火了，小火定型慢容易散，而且还容易让更多的油浸入到玉米中。炸约5-6分钟，至金黄熟透，出锅	http://www.haodou.com/recipe/51867
四色虾饺	鲜香美味，既有山珍【木耳】，又有海味【虾】，既有蔬菜，又有肉类，营养非常丰富，是老少皆宜的美味。	虾仁, 200克; 猪绞肉, 100克; 鸡蛋, 一个; 油菜, 100克; 胡萝卜, 半根; 木耳, 一小把; 面粉, 300克	油, 适量; 盐, 适量; 鸡精, 适量; 生抽, 适量; 胡椒粉, 适量; 葱姜末, 适量	1. 将虾仁的虾线挑出。2. 将虾仁斩成虾泥。3. 加葱末盐、油、鸡精调成馅。4. 油菜焯水后切成末，加盐、油、鸡精调成馅。5. 木耳泡发后切末。6. 胡萝卜洗净切末。7. 鸡蛋加少许盐打匀，锅里加少许油，将鸡蛋煎成蛋皮。8. 蛋皮切成末。9. 肉馅加葱姜末、生抽、胡椒粉、盐、鸡精拌成馅。10. 一半肉馅加胡箩卜拌匀。11. 另一半肉馅加入木耳末拌匀。12. 面粉用温水和成软面团，省10分钟。13. 揪成小面剂，擀成饺子皮。14. 包入虾，中间捏起，再对捏。15. 四角分别塞入木耳馅、鸡蛋末、胡萝卜馅、油菜馅。16. 包好后放笼屉中篜15分钟.17. 装盘即可。	http://www.haodou.com/recipe/53751
清炒西兰花	碧绿脆嫩，咸鲜适口。常吃西兰花有爽喉、开音、润肺、止咳的功效。	西兰花, 500g	葱, 5g; 姜, 3g; 蒜, 3g; 盐, 1勺; 味精, 1/2勺; 油, 50ml	1. 先将西兰花掰成小朵,西兰花放入开水中焯一下2. 锅中放油，下入葱姜蒜，炒香3. 放入西兰花，快炒4. 最后加入盐，味精，翻炒，即可装盘	http://www.haodou.com/recipe/51900
凉拌菜	这个是我家常菜了，就是凉拌的。酸甜可口。	黄瓜, 80g; 芹菜, 10g; 洋葱, 40g; 胡萝卜, 40g	醋, 适量; 鸡精, 适量; 盐, 2勺; 糖, 1/2勺; 酱油, 适量	1. 把黄瓜。胡萝卜，洋葱。芹菜切丝2. 把芹菜开水焯下，3. 加入酱油，凉拌醋，糖，盐鸡精。4. 拌匀即可！	http://www.haodou.com/recipe/52393
蒜苔炒鸡蛋	最喜欢吃蒜苔了，感觉怎么做都好吃，放入锅内一炒那香味就扑鼻而来，感觉又好久没吃鸡蛋了，这次用鸡蛋来炒~平时喜欢炒的很嫩的蒜苔，这次我也特意炒的稍微发皱一点，也一样好吃哦~	蒜苔, 200g; 鸡蛋, 2个	盐, 1勺; 生抽, 1勺; 味精, 1/4勺	1. 鸡蛋两个打散加少许盐。 2. 锅内热油倒入蛋液翻炒。3. 炒好的鸡蛋盛出备用。 4. 锅内热油倒入蒜苔翻炒。 5. 加入适量盐。 6. 加少许生抽。7. 加入几粒味精。 8. 把鸡蛋倒回锅内翻炒均匀即可。	http://www.haodou.com/recipe/51462
土豆玉米炖豆角	把几样蔬菜炖在一起过一把吃菜瘾，称为乱炖！这样看来乱炖的内容就很丰富了，豆角，土豆，玉米等都会搭配组合，满满一大盆上来，绝对过瘾！	豆角, 250g; 玉米, 80g; 土豆, 200g; 五花肉, 50g	葱, 10g; 姜, 5g; 味精, 1/2勺; 盐, 3勺; 蒜, 5g; 酱油, 适量; 鸡精, 适量	1. 豆角洗净用手掰断，玉米洗净切段，土豆洗净切两半，五花肉切片2. 玉米用热水焯一下3. 热锅，锅中烧油，炒香葱姜蒜，把肉煸炒放豆角，炒至断生，放土豆丁继续炒，放一点酱油和鸡精4. 放玉米，加水，没过玉米，豆角。炖半小时，出锅加味精。	http://www.haodou.com/recipe/50247
金鸽报喜之虫草花鲜蚝鸽子汤	这道汤具有补肝壮肾、益气补血之功效，味道清香鲜美。整道汤的颜色呈金黄色，具有富贵感。而汤内加入“蚝”，是粤菜比较新式的做法，“蚝”的加入不但提升了鲜甜味，而使这道汤显得更为高贵。 　　鸽子举头向天的姿态寓意报喜，寓意着好意头。	中鸽, 1只; 生蚝, 4只; 虫草花, 25g; 白果, 20粒; 枸杞, 10粒	姜, 1片; 料酒, 1大勺; 生粉, 1大勺; 盐, 1勺	1. 锅下水烧开，把鸽子放入焯水，过冷河待用。2. 生蚝加料酒和生粉轻揉一会，用清水冲净沥干水份待用。3. 虫草花洗净泡发好待用（泡虫草花的水保留）。4. 白果泡入温水中去内衣和芯，姜切片，枸杞泡发好待用。5. 将鸽子、虫草花、姜片放入炖锅里，倒入泡虫草花的水，再加入适量的清水，盖上锅盖中火烧开后，调小火炖1个小时。6. 然后放入白果煮20分钟。7. 再放入生蚝大火煮3分钟加入盐即可。	http://www.haodou.com/recipe/51483
白菜炖豆腐	白菜炖豆腐具有清肺止咳，养阴生津，解毒，生津润燥的功效。绿白相衬，清素鲜嫩。 白菜含有丰富的粗纤维，不但能起到润肠、促进排毒的作用又刺激肠胃蠕动，促进大便排泄，帮助消化的功能。豆腐及豆腐制品的蛋白质含量丰富，而且豆腐蛋白属完全蛋白，不仅含有人体必需的八种氨基酸，而且比例也接近人体需要，营养价值较高。	大豆腐, 400g; 白菜, 150g	精盐, 1/2勺; 生抽, 1勺; 鸡精, 1/2勺; 葱末姜末, 适量; 植物油, 适量; 高汤, 适量; 青葱, 适量	1. 将豆腐切成小块。2. 大白菜洗净后切成薄片。3. 葱、姜切末。4. 将锅置于旺火上，放入植物油烧热，将葱末和姜末炸出香味。5. 放入豆腐翻炒，加入生抽酱油调色。6. 放入白菜翻炒，加入适量高汤（大骨头汤），盐，炖至白菜和豆腐块融为一体时，撒入鸡精即可。7. 出锅，表面撒上青葱，开吃吧。	http://www.haodou.com/recipe/51706
西红柿炒卷心菜	卷心菜，我们这里叫大头菜，很常见，也很便宜。买一棵能吃好几顿，呵呵。 这个菜很清淡，颜色也好看，红白绿相间，维生素很丰富噢。	西红柿, 50g; 卷心菜, 100g	尖椒, 10g; 盐, 适量; 葱花, 适量; 糖, 适量; 醋, 适量	1. 卷心菜剥下来四五片叶，与西红柿，尖椒洗净备用。2. 卷心菜切丝。3. 西红柿切小块。4. 尖椒切丝备用。5. 锅中加油，烧热后放葱花，爆香放入卷心菜丝，翻炒两分钟。6. 放入西红柿继续翻炒到西红柿软烂出汤。7. 放入尖椒丝。再炒一分钟，加盐，少许醋，糖，炒匀出锅。8. 酸甜适口，颜色鲜艳。	http://www.haodou.com/recipe/50215
绿豆粉皮拌黄瓜	筋韧滑爽，酸辣可口。	绿豆粉皮, 300g; 黄瓜, 150g	蒜泥, 适量; 酱油, 适量; 香油, 适量; 醋, 适量	1. 粉皮是我从超市里买的干的，有鲜的更好。2. 将黄瓜洗净，去皮，节成片备用。3. 将绿豆粉皮用开水煮10分钟，然后沥干水份备用。4. 加入蒜泥、酱油、醋、香油拌匀盛盘即可。	http://www.haodou.com/recipe/50067
清蒸黑头鱼	现在的孩子真是早熟，不到五岁的宝竟然掉了一颗牙，孩子需要补钙加强营养。正巧下班路上看到有卖活的黑头鱼的，就买了一条，让店主加工好，回家做了清蒸油泼鱼，整条鱼被宝吃的只剩下鱼骨头。。。 黑头鱼营养价值丰富，富含维生素、钙铁等微量元素。高蛋白低脂肪，而且是蒜瓣肉，刺少肉厚，非常适合清蒸给孩子吃~~	黑头鱼, 400g; 红辣椒, 10g	葱, 3g; 姜, 3g; 料酒, 2ml; 蒸鱼豉油, 3g; 盐, 3g; 花椒, 5g	1. 葱姜切丝，红辣椒切好备用2. 我用了李锦记的蒸鱼豉油3. 黑头鱼洗净、去筋、在鱼身上切刀花，鱼身上抹上盐，鱼身下铺姜片备用，身上放入料酒，葱姜丝和花椒腌制10分钟。4. 将鱼盘放入蒸锅蒸5-10分钟5. 取出鱼盘，倒掉盘内的水，剔除葱姜佐料6. 重新将葱姜丝和红辣椒放在鱼身上7. 用勺子烧热一勺油8. 将热油浇汁在鱼身上即可9. 再淋上蒸鱼豉油就好了。	http://www.haodou.com/recipe/49472
